label	医院_事件原因分析描述
产品原因（包括说明书等）	检修发现此注射泵电池仓内无电池与厂家沟通发现是出厂将电池漏装
产品原因（包括说明书等）	卡子坏
无法确定,产品原因（包括说明书等）	设备故障
无法确定	经检测判断为注射泵内置电机故障导致无法推送液体
产品原因（包括说明书等）	捏柄老化断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	拆开机器检查发现上端注射器的检测传感器排线接触不良
产品原因（包括说明书等）	考虑为喇叭损坏
产品原因（包括说明书等）	近半年内有进行注射泵维护校准注射泵前两天也使用正常6月19日才出现此不良现象可能要进行系统的工装校准
产品原因（包括说明书等）	初步分析电源部分因液体导致短路
产品原因（包括说明书等）	null
产品原因（包括说明书等）,无法确定	长时间未校准
产品原因（包括说明书等）	产品质量原因
产品原因（包括说明书等）	使用频率高
产品原因（包括说明书等）	卡夹材质太软导致卡夹破裂
无法确定	拆修后发现该设备前壳拉杆处有断裂且已多次粘接重新粘接已无法达到使用强度要求
产品原因（包括说明书等）	null
产品原因（包括说明书等）,操作原因,无法确定	患者使用注射泵持续8小时泵入抗凝溶栓药物更换药物时间比预期提前2小时
产品原因（包括说明书等）	机器故障
产品原因（包括说明书等）,无法确定	接头接触不良
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	产品质量问题
无法确定	null
产品原因（包括说明书等）	注射泵电源损坏
产品原因（包括说明书等）	报警蜂鸣器坏该品牌注射泵出现蜂鸣器故障多次出现报警蜂鸣器不响存在较大安全隐患
产品原因（包括说明书等）	产品固定注射器的推拉杆固定不良
无法确定	微量泵的固定器部分这段无法固定
产品原因（包括说明书等）	设备主板故障
产品原因（包括说明书等）	测量后发现电源线损坏导致一直使用电池工作在电池电量耗尽后又无法为其充电至其出现电池电量低导致机器无法工作
无法确定	经检测判断为注射泵内置导联线脱落导致注射泵异常报警
产品原因（包括说明书等）	注射器传感器排线故障导致无法正确识别注射器
产品原因（包括说明书等）	报警喇叭坏
产品原因（包括说明书等）	疑似质量缺陷
产品原因（包括说明书等）	正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修
产品原因（包括说明书等）,无法确定	null
产品原因（包括说明书等）	注射泵的固定支架老化损害导致注射泵无法固定在输液架上
操作原因	检查发现固定注射器的卡塞内有污垢分析是导致夹子卡死的原因
